script_name,test_id,duration,final_score
adventureworks_c01,0,0,142
adventureworks_c01,1,0,212
adventureworks_c01,2,0,180
adventureworks_c01,3,0,12
adventureworks_c01,4,0,170
adventureworks_c01,5,0,165
adventureworks_c02,0,0,390
adventureworks_c02,1,0,5285
adventureworks_c02,2,0,262
adventureworks_c02,3,0,454
adventureworks_c02,4,0,1637
adventureworks_c02,5,0,374
adventureworks_c03,0,0,303
adventureworks_c03,1,0,992
adventureworks_c03,2,0,737
adventureworks_c03,3,0,303
adventureworks_c03,4,0,1799
adventureworks_m01,3,0,115
adventureworks_c03,5,0,4
adventureworks_c04,0,0,27
adventureworks_c04,1,0,4090
adventureworks_c04,2,0,64
adventureworks_c04,3,0,0
adventureworks_c04,4,0,4000
adventureworks_c04,5,0,372
adventureworks_m01,4,3,5266
adventureworks_s03,5,0,3571
adventureworks_c05,0,1,612
adventureworks_c05,1,0,4297
adventureworks_c05,2,0,193
adventureworks_c05,3,0,90
adventureworks_c05,4,0,5010
adventureworks_c05,5,0,28
adventureworks_m01,0,0,115
adventureworks_m01,1,0,5008
adventureworks_m01,2,0,3322
adventureworks_s03,2,0,7878
adventureworks_m01,5,2,167
adventureworks_m02,0,0,30
adventureworks_m02,1,0,41
adventureworks_m02,2,0,9
adventureworks_m02,3,0,2
adventureworks_m02,4,0,102
adventureworks_m02,5,0,2
adventureworks_m03,0,0,42
adventureworks_m03,1,0,53
adventureworks_m03,2,0,18
adventureworks_m03,3,0,13
adventureworks_m03,4,0,41
adventureworks_m03,5,0,14
adventureworks_s03,3,0,58561
adventureworks_m04,0,0,26
adventureworks_m04,1,0,26
adventureworks_m04,2,0,1
adventureworks_m04,3,0,61
adventureworks_m04,4,0,598
adventureworks_m04,5,0,305
adventureworks_m05,0,0,280
adventureworks_m05,1,0,1
adventureworks_m05,2,0,10
adventureworks_m05,3,0,428
adventureworks_m05,4,0,879
adventureworks_s03,4,0,13836
adventureworks_m05,5,0,430
adventureworks_s01,0,0,95
adventureworks_s01,1,0,672
adventureworks_s01,2,0,491
adventureworks_s01,3,0,10369
adventureworks_s01,4,0,586
adventureworks_s01,5,0,491
adventureworks_s02,0,0,41
adventureworks_s02,1,0,683
adventureworks_s02,2,0,41
adventureworks_s02,3,0,41
adventureworks_s02,4,0,1114
adventureworks_s02,5,0,41
adventureworks_s03,0,0,2496
adventureworks_s03,1,0,6342
adventureworks_s04,0,0,252
adventureworks_s04,1,0,2431
adventureworks_s04,2,0,59
adventureworks_s04,3,0,20546
adventureworks_s04,4,0,5318
adventureworks_s04,5,0,3
adventureworks_s05,0,0,142
adventureworks_s05,1,0,323
adventureworks_s05,2,0,70
adventureworks_s05,3,0,18
adventureworks_s05,4,0,167
adventureworks_s05,5,0,212
