adventureworks_c01,253,( vendor_accountnumber ADVANCED0001 ) OR ( vendor_accountnumber AURORAB0001 ) OR ( vendor_accountnumber AUSTRALI0001 ) OR ( vendor_accountnumber BERGERON0001 ) OR ( vendor_accountnumber BLOOMING0001 ) OR ( vendor_accountnumber BURNETT0001 ) OR ( vendor_accountnumber INNERCI0001 ) OR ( vendor_accountnumber INTERNAT0001 ) OR ( vendor_accountnumber LEAFRIV0001 ) OR ( vendor_accountnumber LINDELL0001 ) OR ( vendor_accountnumber LITWARE0001 ) OR ( vendor_accountnumber METROSP0001 ) OR ( vendor_accountnumber MIDWEST0001 ) OR ( vendor_accountnumber MOUNTAIN0001 ) OR ( vendor_accountnumber NORSTAN0001 ) OR ( vendor_accountnumber NORTHERN0001 ) OR ( vendor_accountnumber PROSPOR0001 ) OR ( vendor_accountnumber READYRE0001 ) OR ( vendor_accountnumber WESTAMER0001 ),0
adventureworks_m01,3477,( salesorderdetail_orderqty >1.50 AND product_productnumber CS-6583 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber CS-9183 ) OR ( salesorderdetail_orderqty >2.00 AND product_productnumber FR-M21B-40 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M21B-42 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M21B-44 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M21B-48 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M21B-52 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M63B-38 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M63B-40 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M63B-44 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M63B-48 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M94B-38 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M94B-42 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M94B-44 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-M94B-48 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R38B-44 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R38B-52 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R38B-58 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R38B-60 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R92B-44 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FR-R92B-48 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FW-M762 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FW-M928 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FW-R762 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber FW-R820 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber RW-M762 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber RW-M928 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber RW-R762 ) OR ( salesorderdetail_orderqty >1.50 AND product_productnumber RW-R820 ),201
adventureworks_c01,253,( vendor_accountnumber ADVANCED0001 ) OR ( vendor_accountnumber AURORAB0001 ) OR ( vendor_accountnumber AUSTRALI0001 ) OR ( vendor_accountnumber BERGERON0001 ) OR ( vendor_accountnumber BLOOMING0001 ) OR ( vendor_accountnumber BURNETT0001 ) OR ( vendor_accountnumber INNERCI0001 ) OR ( vendor_accountnumber INTERNAT0001 ) OR ( vendor_accountnumber LEAFRIV0001 ) OR ( vendor_accountnumber LINDELL0001 ) OR ( vendor_accountnumber LITWARE0001 ) OR ( vendor_accountnumber METROSP0001 ) OR ( vendor_accountnumber MIDWEST0001 ) OR ( vendor_accountnumber MOUNTAIN0001 ) OR ( vendor_accountnumber NORSTAN0001 ) OR ( vendor_accountnumber NORTHERN0001 ) OR ( vendor_accountnumber PROSPOR0001 ) OR ( vendor_accountnumber READYRE0001 ) OR ( vendor_accountnumber WESTAMER0001 ),1
adventureworks_c02,19880,( none ) OR ( none ),25
