script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,total_test_cnt
polling_etl_jm3,0    ,101,1,101,0,0,-2,0.666667,0.666667,0.666667,0,0,0,0.666667,0,0.5,1,201
polling_etl_jm3,1    ,4,1,4,0,0,-2,0,0,0,0,0,0,0,0,0,1,205
polling_etl_jm3,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,201
polling_etl_jm3,3    ,4,1,4,0,0,-2,0,0,0,0,0,0,0,0,0,1,205
polling_etl_jc3,4    ,48,1,48,0,0,-2,0,0,0,0,0,0,0,0,0,1,249
polling_etl_jm1,4    ,40,1,40,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_jc2,4    ,40,1,40,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_js1,4    ,74,2,74,0,0,-2,0,0,0,0,0,0,0,0,0,2,215
polling_etl_jc5,4    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,539
polling_etl_jc4,4    ,48,1,48,0,0,-2,0,0,0,0,0,0,0,0,0,1,249
polling_etl_jm4,4    ,26,1,26,0,0,-2,0,0,0,0,0,0,0,0,0,1,201
polling_etl_js3,4    ,74,2,74,0,0,-2,0,0,0,0,0,0,0,0,0,2,215
polling_etl_js2,4    ,74,2,74,0,0,-2,0,0,0,0,0,0,0,0,0,2,215
polling_etl_jm5,4    ,52,1,52,0,0,-2,0,0,0,0,0,0,0,0,0,1,175
polling_etl_jc1,4    ,74,1,74,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_jm2,4    ,40,1,40,0,0,-2,0,0,0,0,0,0,0,0,0,1,215
polling_etl_js5,4    ,74,2,74,0,0,-2,0,0,0,0,0,0,0,0,0,2,215
polling_etl_js4,4    ,74,2,74,0,0,-2,0,0,0,0,0,0,0,0,0,2,215
polling_etl_jm3,4    ,4,1,4,0,0,-2,0,0,0,0,0,0,0,0,0,1,205
