script_name,test_id,m_u_tuple_count,duration,total_score,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
balance_jm3,4,1092,2,1092,0,0,0,0,0,0,0,0,0,2,2,2196
balance_jc1,4,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
balance_jm2,4,1042,2,1042,0,0,0,0,0,0,0,0,0,2,2,2146
balance_js5,4,925,1,925,0,0,0,0,0,0,0,0,0,1,1,2044
balance_js2,4,1049,1,1049,0,0,0,0,0,0,0,0,0,1,1,2168
balance_jm5,4,1042,2,1042,0,0,0,0,0,0,0,0,0,2,2,2146
balance_jm4,4,1030,2,1030,0,0,0,0,0,0,0,0,0,2,2,2134
balance_js3,4,1974,1,1974,0,0,0,0,0,0,0,0,0,1,1,3093
balance_jc4,4,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
balance_js1,4,925,1,925,0,0,0,0,0,0,0,0,0,1,1,2044
balance_jc5,4,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
balance_jm1,4,1042,2,1042,0,0,0,0,0,0,0,0,0,2,2,2146
balance_jc2,4,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
balance_jc3,4,1005,2,1005,0,0,0,0,0,0,0,0,0,2,2,2109
