script_name,test_id,m_u_tuple_count,duration,total_score,harmonic_mean,jaccard,column_cnt,tarantular_hm,ochihai_hm,kulczynski2_hm,naish2_hm,wong1_hm,sober_hm,liblit_hm,mw_hm,crosstab_hm,tarantular_duration,mw_duration,total_test_cnt
adventureworks_js1,0    ,0,0,239,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,0    ,0,0,239,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,1    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,1    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,2    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,3    ,0,0,239,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_js1,3    ,0,1,239,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,0    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,1    ,0,0,183,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,1    ,0,0,183,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,2    ,0,0,192,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,2    ,0,0,192,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,3    ,0,0,183,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc5,3    ,0,0,183,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,1    ,0,0,513,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,1    ,0,0,513,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,2    ,0,0,525,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,2    ,0,0,525,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,3    ,0,0,513,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc4,3    ,0,0,513,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,1    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,1    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,2    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jc3,2    ,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jm1,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
adventureworks_jm1,0    ,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0
